id,time,lon,lat,GPS_Alt,roll,pitch,yaw,RTK
DSC09463,2022/8/6 4:31,120.0404038,29.018853,827.6,1,4.9,-107.3,2
DSC09464,2022/8/6 4:31,120.0396273,29.018904,828.6,31.7,-2,-89.2,2
DSC09465,2022/8/6 4:31,120.0389638,29.0192599,828.5,29.1,0.6,-50.3,2
DSC09466,2022/8/6 4:31,120.0386436,29.0198658,828.4,24.3,2.3,-16.2,2
DSC09467,2022/8/6 4:31,120.0386415,29.0205379,828.4,2.7,2.8,1.3,2
DSC09468,2022/8/6 4:31,120.0387038,29.0212001,827.8,-2.2,4.5,-7,2
DSC09469,2022/8/6 4:31,120.0387077,29.0218653,827.9,2.1,3.2,-11.2,2
DSC09470,2022/8/6 4:31,120.0386854,29.022525,827.8,2.3,3.5,-11.8,2
DSC09471,2022/8/6 4:31,120.0386623,29.0231849,828.1,0,-0.8,-8.8,2
DSC09472,2022/8/6 4:31,120.038622,29.0238927,828.7,2.4,2.6,-9.8,2
DSC09473,2022/8/6 4:31,120.0385992,29.0246138,828.2,-0.8,1.4,-6.9,2
DSC09474,2022/8/6 4:31,120.0385733,29.025355,829.7,1.5,-1.7,-12.6,2
DSC09475,2022/8/6 4:31,120.0385286,29.026091,830.3,1.2,-3.7,-8.1,2
DSC09476,2022/8/6 4:31,120.0384875,29.0268349,831.2,6.7,-7.5,-4.3,2
DSC09477,2022/8/6 4:31,120.0384857,29.0275719,831.7,-2.9,-5.1,-4.7,2
DSC09478,2022/8/6 4:31,120.0384691,29.0282803,831.7,-0.2,-6.5,-8,2
DSC09479,2022/8/6 4:31,120.0384284,29.0289684,831.9,0.8,-5.6,-6.4,2
DSC09480,2022/8/6 4:31,120.0383896,29.0296428,829.9,0.7,-2.6,-6.6,2
DSC09481,2022/8/6 4:31,120.0383406,29.0303021,828.8,2.3,-1.1,-6.9,2
DSC09482,2022/8/6 4:31,120.0382954,29.0309768,827.6,6.5,2,-4.6,2
DSC09483,2022/8/6 4:32,120.0383116,29.0316936,829.4,-5.1,-3.7,1.7,2
DSC09484,2022/8/6 4:32,120.0382822,29.0324443,832.5,-2.9,-9.5,-10.2,2
DSC09485,2022/8/6 4:32,120.0382105,29.0331956,834.4,5.7,-9.7,1.2,2
DSC09486,2022/8/6 4:32,120.038193,29.0339483,834.4,-1.8,-7.9,-9,2
DSC09487,2022/8/6 4:32,120.0381525,29.0347079,833.8,0.6,-9,-6.4,2
DSC09488,2022/8/6 4:32,120.038105,29.0354691,832.5,2.9,-5.9,-4.8,2
DSC09489,2022/8/6 4:32,120.0380715,29.0361939,831.7,1.3,-5.3,-11.6,2
DSC09490,2022/8/6 4:32,120.038029,29.036882,830.3,3,-4.9,-13.6,2
DSC09491,2022/8/6 4:32,120.0379924,29.0375777,829.7,0.9,-4.9,-6.7,2
DSC09492,2022/8/6 4:32,120.0379745,29.0382407,828.6,0,-1.7,-6.3,2
DSC09493,2022/8/6 4:32,120.0379537,29.0388715,828.5,3,-3.6,-10.2,2
DSC09494,2022/8/6 4:32,120.0379275,29.0395264,830.8,-1.9,-7.4,-9.6,2
DSC09495,2022/8/6 4:32,120.0378789,29.0401721,829.3,0.5,-2.5,-8.4,2
DSC09496,2022/8/6 4:32,120.0378474,29.0408209,826.5,-0.1,4,-11.4,2
DSC09497,2022/8/6 4:32,120.0378184,29.0414621,825.6,2.4,3.6,-12.8,2
DSC09498,2022/8/6 4:32,120.0377762,29.0421201,825.5,3.4,5.3,-10.6,2
DSC09499,2022/8/6 4:32,120.0377449,29.042785,825.4,1.8,5.3,-12,2
DSC09500,2022/8/6 4:32,120.0377128,29.043472,825.5,1.8,5.1,-11.6,2
DSC09501,2022/8/6 4:32,120.0376778,29.0441594,826.1,3.2,4.1,-6.1,2
DSC09502,2022/8/6 4:32,120.0376447,29.0448542,826.5,2.3,2.8,-6.9,2
DSC09503,2022/8/6 4:33,120.0376962,29.0455654,828.9,30.8,-6.1,15,2
DSC09504,2022/8/6 4:33,120.0381452,29.0462209,830.1,27,-4.3,45.3,2
DSC09505,2022/8/6 4:33,120.0388541,29.0466113,828.5,31.5,-2.9,79.4,2
DSC09506,2022/8/6 4:33,120.0396387,29.0466084,827.2,29.9,1,110.8,2
DSC09507,2022/8/6 4:33,120.040245,29.0462513,826.2,30.5,1.9,152.3,2
DSC09508,2022/8/6 4:33,120.0404319,29.0457318,826.4,17.8,1,-172.5,2
DSC09509,2022/8/6 4:33,120.0403366,29.045219,827.9,-2.2,0.9,-157,2
DSC09510,2022/8/6 4:33,120.0401731,29.0446611,828,-15,0.7,-164.6,2
DSC09511,2022/8/6 4:33,120.0401675,29.0440341,827.2,-0.7,1.6,175.3,2
DSC09512,2022/8/6 4:33,120.040237,29.0434265,826.8,2.8,4,175.9,2
DSC09513,2022/8/6 4:33,120.0402886,29.0428141,826.3,3.2,2.6,176.5,2
DSC09514,2022/8/6 4:33,120.0403119,29.0421809,827.3,1.1,2.2,-175.5,2
DSC09515,2022/8/6 4:33,120.0402921,29.0415414,829.8,-6.7,-5.2,-170.1,2
DSC09516,2022/8/6 4:33,120.0403148,29.0408656,831.1,-2.3,-6,169.9,2
DSC09517,2022/8/6 4:33,120.0403982,29.0401848,831.9,0.4,-6.5,169,2
DSC09518,2022/8/6 4:33,120.0404689,29.0395055,832.3,6.1,-6.9,-179.7,2
DSC09519,2022/8/6 4:33,120.0404748,29.0388606,831.2,-2.7,-4.2,-179.7,2
DSC09520,2022/8/6 4:33,120.0405014,29.0382499,829.3,0.1,-2.4,173.9,2
DSC09521,2022/8/6 4:33,120.0405278,29.0376273,829,-0.4,-2.8,179.6,2
DSC09522,2022/8/6 4:33,120.0405662,29.0369904,828.9,1.7,-2,170.6,2
DSC09523,2022/8/6 4:34,120.0406552,29.0363484,829.9,9.3,-4.4,166.9,2
DSC09524,2022/8/6 4:34,120.0407047,29.0357005,830.6,4.9,-6.4,174.7,2
